video_url,user_url,username,title,view_num,created_at,shortdesc,collected_at
/watch?v=UR_gnJ-lBz8&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@DuckTravel,DuckTravel走鴨旅行,"Hoi An, Vietnam🇻🇳 The Most Charming Ancient Town in Southeast Asia (4K UHD)",206K,1 year,"Hoi An (Hội An), a UNESCO World Heritage Site, is a charming and well-preserved town located in central Vietnam. Known for its ...",2026-01-21 22:43:38.713562
/watch?v=BXFSCxLwNcw&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@NataliesPassport,Natalie's Passport,"3 Days in HOI AN 🇻🇳 My FAVORITE Place in Vietnam: Hoi An Ancient Town, An Bang Beach, Coconut Boats",25K,9 months,"In this Vietnam Travel Vlog, I spend a few days exploring Hoi An, Vietnam! Even though it was rainy for a lot of my time in Hoi An, ...",2026-01-21 22:43:38.717027
/watch?v=hpzpnjYZ2lE&pp=ygUOSG9pIEFuIFZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@BrianandCarrie,Brian and Carrie,The BEST of HOI AN 🇻🇳 Travel to the CULTURAL GEM of Central Vietnam,59K,2 years,"Hello from Hoi An, Vietnam!! Hoi An is a charming and picturesque town located in central Vietnam, known for its well-preserved ...",2026-01-21 22:43:38.718658
/watch?v=v9a_eXBE1Hs&pp=ygUOSG9pIEFuIFZpZXRuYW3SBwkJhwoBhyohjO8%3D,/@adellecerna,Adelle,"2 Days in Da Nang, Vietnam 🇻🇳 (cafes, shopping, beach, river)",1.1K,11 hours,"Spend 2 days in Da Nang, Central Vietnam with me In this video, I explore the city through cafés, shopping, the beach, and ...",2026-01-21 22:43:38.721180
/watch?v=H69f2hOg_o8&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@Willtravelz,Will travelz ,Is Hoi An Better Than Da Nang? First Day In Hoi An Vietnam.,2.8K,3 months,Support the Channel** Love the content? Help keep it going with a coffee! [Buy Me a ...,2026-01-21 22:43:38.722420
/watch?v=c1S0iAiWCUo&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@danny_and_diggy,Danny & Diggy,5 DAYS in HOI AN now Vitenam 2025 (with PRICES) 🇻🇳,4.3K,3 months,We have spent 5 days in Hoi An Vietnam in 2025. In this Hoi An vlog we are sharing our experience of our Vietnam travel in 2025 ...,2026-01-21 22:43:38.723740
/watch?v=r-tIz2ECjGU&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@chasbruns,Chas Bruns,"Things to do in Hoi An, Vietnam",23K,6 months,Get $10 off your Worldpackers membership! Use promo code DIRTCHEAP at https://bit.ly/3aoVNif Download Union House Band ...,2026-01-21 22:43:38.725044
/watch?v=YFlyMu0kFiY&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@BestEverFoodReviewShow,Best Ever Food Review Show,"Where to Eat in Hoi An, Vietnam! (Cocobox, Morning Glory, Nu Eatery)",828K,8 years,Best Hoi An Street Food → https://www.youtube.com/watch?v=6x9TT-C2Ygs Join the notification squad! Click the BELL icon to get ...,2026-01-21 22:43:46.971014
/watch?v=6K_QqIY0bQU&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@RobandTali,Rob and Tali,"Living WELL in HOI AN, VIETNAM for $1000 per month",17K,8 months,Hoi An is one of the best locations to live or retire as a foreigner in Vietnam. But can you really live here for $1000 or less a month ...,2026-01-21 22:43:46.972638
/watch?v=Rosbxbl2t14&pp=ygUOSG9pIEFuIFZpZXRuYW0%3D,/@BarefootVlogger,Barefoot Vlogger,HOI AN Amazing at NIGHT: VIETNAM's Enchanting Ancient Town 🇻🇳,22K,1 year,"Taxi to Hoi An, the amazing, enchanting Ancient Town, to walk at night along the river, tour the city and eat some local Vietnamese ...",2026-01-21 22:43:46.973881
